precinct_id,abandoned_vehicle,blocked_driveway,graffiti,illegal_parking,noise___commercial,noise___residential,noise___street/sidewalk,noise___vehicle,sanitation_condition,street_light_condition,disorder_cluster
69,2252.0,12865.0,155.0,13843.0,1115.0,10774.0,2156.0,890.0,352.0,1229.0,0
7,432.0,807.0,3200.0,12555.0,8895.0,15027.0,7846.0,2876.0,84.0,982.0,3
70,4046.0,20069.0,1001.0,47805.0,3264.0,34034.0,13766.0,4844.0,419.0,2441.0,1
71,3214.0,9482.0,687.0,23756.0,5200.0,26665.0,14207.0,4396.0,295.0,2323.0,0
72,2885.0,13361.0,4096.0,38787.0,4682.0,12668.0,7484.0,3007.0,403.0,2975.0,3
73,2218.0,8901.0,881.0,13779.0,1314.0,25267.0,7796.0,3131.0,360.0,1748.0,0
75,29730.0,36482.0,1634.0,67149.0,5248.0,45115.0,14377.0,6085.0,1280.0,3906.0,1
76,1410.0,3327.0,578.0,33192.0,2154.0,6370.0,3485.0,806.0,172.0,1107.0,0
77,2598.0,7944.0,1024.0,28361.0,5639.0,24317.0,11603.0,2894.0,283.0,1644.0,0
78,1821.0,4941.0,1040.0,49947.0,4144.0,6401.0,4725.0,1843.0,231.0,1739.0,0
79,2512.0,6682.0,1582.0,20616.0,5668.0,24478.0,12647.0,3498.0,474.0,1509.0,0
81,2136.0,5617.0,1153.0,14897.0,3353.0,20789.0,6151.0,1682.0,375.0,1103.0,0
83,2932.0,17755.0,4250.0,25947.0,14021.0,35601.0,21892.0,7866.0,335.0,1559.0,3
84,1928.0,3127.0,458.0,73518.0,2843.0,20839.0,6064.0,2753.0,102.0,1867.0,0
88,1453.0,4023.0,610.0,47550.0,3255.0,9992.0,6387.0,2078.0,182.0,1100.0,0
9,683.0,1203.0,2281.0,12269.0,10251.0,23813.0,14306.0,2412.0,192.0,1079.0,3
90,2452.0,8672.0,7017.0,23168.0,13965.0,25879.0,14599.0,4767.0,385.0,2215.0,3
94,2432.0,8986.0,5625.0,44592.0,11656.0,14711.0,7852.0,3048.0,299.0,1481.0,3
